Id,SalePrice
1461,123589.0
1462,144281.72
1463,167767.38
1464,189554.0
1465,210571.8
1466,177962.6666666667
1467,168107.9
1468,177571.8
1469,181742.5
1470,111166.71
1471,184764.75
1472,89806.57142857142
1473,94179.83333333334
1474,159531.9
1475,141393.0
1476,394163.99
1477,255803.91
1478,330924.7
1479,293188.4
1480,470387.75
1481,328523.33
1482,210076.06
1483,176971.05
1484,177852.93
1485,164862.82
1486,208831.9
1487,358311.87
1488,246656.57
1489,206875.0
1490,192026.9
1491,190938.5
1492,106267.76
1493,175499.52
1494,291387.0
1495,290127.99
1496,214496.5
1497,204007.25
1498,150848.13
1499,151031.17
1500,150145.4575
1501,173499.6666666667
1502,150383.6
1503,305193.46
1504,233280.68
1505,211532.06
1506,186733.4
1507,225437.53
1508,182086.5
1509,161987.5
1510,145497.27
1511,152439.55
1512,183923.5
1513,164786.23
1514,160744.05
1515,183475.57
1516,156622.32
1517,152000.635
1518,139540.46
1519,222211.52
1520,137348.0
1521,147258.0
1522,174052.4
1523,117147.26
1524,123183.29
1525,122087.0
1526,120809.5
1527,94036.83
1528,128183.25
1529,145335.0
1530,162403.0
1531,117480.85
1532,99074.3
1533,143764.0
1534,124357.79
1535,140936.68
1536,108750.4
1537,78885.22
1538,180937.5
1539,241907.0
1540,121737.48
1541,173466.34
1542,147248.26
1543,234145.32
1544,77829.0
1545,96674.57142857143
1546,121060.86
1547,114832.0
1548,128408.25
1549,107509.55333333334
1550,145979.64
1551,116517.6
1552,131859.27
1553,136981.13
1554,116751.44
1555,139551.05
1556,110756.08
1557,120122.0
1558,100553.57142857143
1559,119290.62
1560,139373.51
1561,147207.81
1562,132928.66333333333
1563,121100.0
1564,160629.37
1565,155269.21
1566,200178.79
1567,78043.15
1568,211425.5
1569,136335.0
1570,127557.44
1571,126717.04
1572,144974.75
1573,239433.32
1574,155340.87
1575,199937.01
1576,196929.1
1577,207323.42
1578,151371.29
1579,143089.9
1580,191647.0
1581,141635.0
1582,123588.26
1583,350309.77
1584,240120.9
1585,139259.16666666666
1586,72750.66
1587,106597.0
1588,148189.27
1589,111478.43
1590,141044.41666666666
1591,111938.24
1592,125110.42
1593,109528.65
1594,163929.68
1595,134498.95
1596,242257.58
1597,164470.23
1598,175675.86666666667
1599,208565.44
1600,203253.24
1601,55223.02333333333
1602,114586.64
1603,94293.0
1604,273952.26
1605,253574.1
1606,172757.32
1607,199099.68
1608,213602.53
1609,202606.63
1610,162565.22
1611,154002.07
1612,196117.4
1613,175074.5
1614,116661.5
1615,82732.99999999999
1616,82732.99999999999
1617,83474.33333333333
1618,130370.16
1619,137088.0
1620,186033.58
1621,134467.32
1622,142864.2
1623,272704.0
1624,203798.0
1625,124729.57
1626,177177.05
1627,181782.0
1628,260267.08
1629,168546.15
1630,327370.86
1631,237801.32
1632,250448.0
1633,162743.37
1634,179330.32
1635,173409.22
1636,168056.9
1637,172972.5
1638,217106.0
1639,183049.05
